gRNA_length,PAM,gc_content,cleavage_efficiency,off_target_probability,immunogenicity,binding_affinity,tcell_recognition,exposure_score,fitness_score
20,NAG,0.71,0.95,0.26,0.35,0.42,0.57,0.66,-0.23
17,NGG,0.47,0.74,0.14,0.52,0.59,0.76,0.7,-0.68
20,NAG,0.66,0.9,0.19,0.4,0.87,0.75,0.64,-0.44
19,NAG,0.43,0.9,0.14,0.27,0.44,0.7,0.51,-0.21
19,CGG,0.51,0.8,0.15,0.46,0.43,0.71,0.74,-0.52
19,TGG,0.44,0.86,0.27,0.21,0.62,0.69,0.65,-0.31
20,NAG,0.62,0.9,0.04,0.23,0.59,0.53,0.6,0.1
18,CGG,0.47,0.71,0.13,0.35,0.8,0.56,0.79,-0.33
20,TGG,0.48,0.94,0.19,0.47,0.55,0.62,0.65,-0.34
24,NGG,0.42,0.77,0.3,0.48,0.89,0.57,0.69,-0.58
19,TGG,0.43,0.93,0.22,0.56,0.49,0.68,0.69,-0.53
21,CGG,0.59,0.71,0.24,0.45,0.76,0.68,0.61,-0.66
17,NGG,0.54,0.86,0.04,0.49,0.75,0.72,0.63,-0.39
21,TGG,0.64,0.93,0.13,0.38,0.47,0.8,0.75,-0.38
23,NGG,0.49,0.95,0.27,0.2,0.53,0.7,0.56,-0.22
20,TGG,0.65,0.7,0.22,0.51,0.4,0.63,0.72,-0.66
24,CGG,0.56,0.8,0.11,0.29,0.58,0.66,0.53,-0.26
24,CGG,0.49,0.86,0.27,0.45,0.63,0.7,0.55,-0.56
20,TGG,0.55,0.81,0.22,0.41,0.62,0.74,0.65,-0.56
22,TGG,0.74,0.89,0.01,0.39,0.58,0.66,0.8,-0.17
22,NGG,0.54,0.7,0.13,0.24,0.73,0.76,0.6,-0.43
23,CGG,0.58,0.7,0.11,0.37,0.86,0.56,0.77,-0.34
23,CGG,0.53,0.93,0.22,0.41,0.82,0.77,0.79,-0.47
23,NAG,0.44,0.9,0.1,0.36,0.53,0.71,0.6,-0.27
24,CGG,0.54,0.81,0.03,0.32,0.68,0.56,0.72,-0.1
19,NGG,0.73,0.89,0.04,0.37,0.8,0.64,0.67,-0.16
19,TGG,0.5,0.88,0.15,0.35,0.89,0.61,0.59,-0.23
22,CGG,0.63,0.88,0.22,0.33,0.78,0.51,0.74,-0.18
21,TGG,0.45,0.88,0.25,0.6,0.5,0.61,0.68,-0.58
17,NGG,0.64,0.79,0.29,0.22,0.87,0.58,0.75,-0.3
24,NAG,0.6,0.73,0.17,0.2,0.81,0.74,0.76,-0.38
20,NAG,0.65,0.92,0.04,0.3,0.46,0.6,0.69,-0.02
24,NGG,0.51,0.86,0.22,0.28,0.88,0.71,0.68,-0.35
24,NAG,0.53,0.87,0.05,0.46,0.67,0.8,0.72,-0.44
19,NGG,0.78,0.79,0.16,0.49,0.47,0.65,0.62,-0.51
23,NGG,0.46,0.95,0.25,0.46,0.42,0.7,0.57,-0.46
18,NGG,0.77,0.79,0.24,0.21,0.75,0.57,0.54,-0.23
18,NGG,0.53,0.86,0.06,0.22,0.71,0.75,0.69,-0.17
18,NGG,0.7,0.84,0.04,0.5,0.76,0.71,0.66,-0.41
21,TGG,0.74,0.79,0.3,0.25,0.79,0.75,0.77,-0.51
18,NGG,0.69,0.75,0.29,0.2,0.56,0.52,0.56,-0.26
23,CGG,0.56,0.81,0.07,0.31,0.48,0.56,0.65,-0.13
20,NAG,0.44,0.95,0.1,0.42,0.74,0.53,0.64,-0.1
20,NGG,0.77,0.93,0.08,0.57,0.51,0.76,0.71,-0.48
22,TGG,0.68,0.76,0.15,0.22,0.56,0.61,0.76,-0.22
17,NGG,0.52,0.71,0.02,0.44,0.78,0.76,0.66,-0.51
18,NAG,0.66,0.79,0.03,0.57,0.82,0.74,0.75,-0.55
23,CGG,0.48,0.8,0.12,0.49,0.74,0.5,0.62,-0.31
24,TGG,0.5,0.83,0.17,0.31,0.49,0.68,0.56,-0.33
22,NAG,0.52,0.71,0.15,0.46,0.57,0.77,0.61,-0.67
23,NGG,0.45,0.88,0.12,0.27,0.51,0.6,0.76,-0.11
22,CGG,0.73,0.73,0.12,0.5,0.82,0.59,0.59,-0.48
21,NGG,0.58,0.77,0.19,0.57,0.87,0.75,0.72,-0.74
23,CGG,0.64,0.85,0.02,0.4,0.78,0.53,0.62,-0.1
22,NAG,0.51,0.8,0.04,0.3,0.63,0.75,0.64,-0.29
23,TGG,0.66,0.85,0.25,0.47,0.6,0.57,0.64,-0.44
24,CGG,0.6,0.93,0.09,0.37,0.85,0.72,0.62,-0.25
17,NGG,0.57,0.84,0.21,0.49,0.55,0.63,0.61,-0.49
23,NGG,0.76,0.72,0.25,0.42,0.76,0.79,0.66,-0.74
17,NAG,0.42,0.77,0.05,0.41,0.81,0.58,0.78,-0.27
21,NAG,0.58,0.78,0.18,0.57,0.6,0.69,0.55,-0.66
19,NGG,0.5,0.73,0.17,0.54,0.49,0.53,0.67,-0.51
21,CGG,0.72,0.86,0.28,0.47,0.45,0.72,0.62,-0.61
18,NGG,0.55,0.74,0.21,0.21,0.63,0.56,0.61,-0.24
19,TGG,0.42,0.76,0.02,0.3,0.72,0.51,0.72,-0.07
20,TGG,0.47,0.75,0.1,0.3,0.53,0.65,0.71,-0.3
19,NAG,0.67,0.76,0.15,0.29,0.65,0.61,0.71,-0.29
23,CGG,0.6,0.72,0.26,0.33,0.58,0.75,0.72,-0.62
20,TGG,0.55,0.78,0.25,0.58,0.8,0.5,0.61,-0.55
19,NGG,0.68,0.94,0.09,0.38,0.62,0.62,0.59,-0.15
22,CGG,0.43,0.82,0.26,0.45,0.74,0.54,0.61,-0.43
19,NAG,0.43,0.82,0.09,0.25,0.89,0.51,0.64,-0.03
20,NGG,0.73,0.82,0.2,0.45,0.61,0.78,0.73,-0.61
24,NAG,0.55,0.83,0.17,0.23,0.64,0.76,0.54,-0.33
17,NGG,0.54,0.89,0.19,0.26,0.63,0.79,0.73,-0.35
17,NAG,0.77,0.92,0.14,0.38,0.76,0.74,0.59,-0.34
18,NGG,0.61,0.76,0.14,0.24,0.62,0.53,0.54,-0.15
21,NGG,0.62,0.92,0.23,0.53,0.45,0.73,0.52,-0.57
24,NGG,0.55,0.73,0.15,0.46,0.88,0.66,0.7,-0.54
24,NAG,0.74,0.94,0.14,0.58,0.78,0.55,0.78,-0.33
20,CGG,0.8,0.81,0.11,0.36,0.61,0.52,0.51,-0.18
18,NGG,0.79,0.73,0.17,0.53,0.61,0.65,0.78,-0.62
20,TGG,0.41,0.91,0.05,0.55,0.69,0.64,0.67,-0.33
18,NAG,0.54,0.93,0.2,0.54,0.69,0.58,0.59,-0.39
18,NGG,0.43,0.81,0.28,0.23,0.63,0.69,0.75,-0.39
21,CGG,0.43,0.74,0.15,0.53,0.41,0.56,0.51,-0.5
18,NAG,0.63,0.85,0.01,0.46,0.84,0.52,0.72,-0.14
24,CGG,0.6,0.87,0.19,0.28,0.54,0.63,0.59,-0.23
20,NGG,0.58,0.92,0.28,0.57,0.8,0.57,0.62,-0.5
21,TGG,0.52,0.76,0.15,0.28,0.6,0.67,0.72,-0.34
24,CGG,0.46,0.7,0.14,0.55,0.42,0.77,0.59,-0.76
17,TGG,0.57,0.78,0.23,0.5,0.42,0.75,0.67,-0.7
18,TGG,0.5,0.73,0.11,0.53,0.85,0.66,0.52,-0.57
18,TGG,0.63,0.88,0.09,0.43,0.62,0.77,0.76,-0.41
19,TGG,0.5,0.71,0.25,0.37,0.72,0.69,0.6,-0.6
21,TGG,0.46,0.92,0.09,0.35,0.74,0.51,0.65,-0.03
23,CGG,0.43,0.85,0.14,0.47,0.52,0.7,0.54,-0.46
24,TGG,0.67,0.78,0.19,0.26,0.64,0.57,0.55,-0.24
19,CGG,0.53,0.89,0.19,0.52,0.82,0.7,0.78,-0.52
20,CGG,0.64,0.79,0.11,0.31,0.44,0.64,0.58,-0.27
23,NGG,0.79,0.78,0.26,0.42,0.83,0.7,0.53,-0.6
23,NAG,0.66,0.88,0.1,0.34,0.5,0.55,0.67,-0.11
17,CGG,0.63,0.76,0.28,0.3,0.76,0.61,0.7,-0.43
18,NAG,0.58,0.93,0.05,0.59,0.43,0.7,0.69,-0.41
21,NAG,0.8,0.76,0.17,0.5,0.7,0.65,0.62,-0.56
17,TGG,0.75,0.83,0.28,0.47,0.71,0.54,0.71,-0.46
24,NAG,0.42,0.72,0.11,0.36,0.82,0.8,0.54,-0.55
23,NAG,0.49,0.77,0.12,0.25,0.77,0.63,0.59,-0.23
18,CGG,0.5,0.92,0.08,0.45,0.63,0.79,0.6,-0.4
19,CGG,0.62,0.82,0.25,0.53,0.57,0.77,0.64,-0.73
24,NAG,0.74,0.89,0.26,0.43,0.52,0.67,0.72,-0.47
22,CGG,0.42,0.71,0.02,0.57,0.7,0.65,0.79,-0.53
23,CGG,0.44,0.74,0.04,0.34,0.67,0.54,0.67,-0.18
23,CGG,0.56,0.76,0.1,0.31,0.73,0.55,0.67,-0.2
24,CGG,0.7,0.94,0.15,0.49,0.68,0.63,0.51,-0.33
21,NGG,0.42,0.75,0.07,0.24,0.73,0.71,0.59,-0.27
17,CGG,0.67,0.84,0.02,0.28,0.5,0.64,0.59,-0.1
24,NGG,0.44,0.74,0.18,0.43,0.71,0.68,0.57,-0.55
24,NAG,0.48,0.81,0.29,0.3,0.66,0.8,0.59,-0.58
20,CGG,0.77,0.75,0.26,0.21,0.55,0.79,0.74,-0.51
21,CGG,0.73,0.86,0.13,0.51,0.66,0.63,0.63,-0.41
19,NGG,0.65,0.83,0.12,0.41,0.9,0.77,0.58,-0.47
22,NGG,0.74,0.85,0.23,0.27,0.44,0.61,0.61,-0.26
20,TGG,0.59,0.92,0.09,0.43,0.67,0.62,0.77,-0.22
19,CGG,0.52,0.83,0.06,0.33,0.69,0.65,0.78,-0.21
24,NAG,0.67,0.87,0.05,0.3,0.53,0.77,0.74,-0.25
19,NAG,0.42,0.72,0.24,0.43,0.71,0.78,0.69,-0.73
20,CGG,0.72,0.94,0.03,0.4,0.64,0.65,0.67,-0.14
22,NGG,0.49,0.83,0.08,0.46,0.65,0.56,0.7,-0.27
19,CGG,0.48,0.82,0.15,0.25,0.86,0.52,0.68,-0.1
17,NAG,0.72,0.94,0.25,0.38,0.72,0.72,0.52,-0.41
24,CGG,0.71,0.77,0.01,0.53,0.53,0.79,0.73,-0.56
21,TGG,0.62,0.9,0.23,0.42,0.46,0.64,0.78,-0.39
23,TGG,0.53,0.81,0.05,0.32,0.52,0.66,0.79,-0.22
18,CGG,0.61,0.92,0.27,0.27,0.6,0.69,0.54,-0.31
22,NAG,0.44,0.84,0.02,0.35,0.62,0.71,0.56,-0.24
18,TGG,0.52,0.8,0.28,0.29,0.67,0.77,0.75,-0.54
20,CGG,0.7,0.86,0.04,0.36,0.76,0.73,0.67,-0.27
17,TGG,0.71,0.95,0.28,0.46,0.86,0.55,0.59,-0.34
23,TGG,0.47,0.81,0.21,0.48,0.72,0.7,0.59,-0.58
17,NAG,0.76,0.88,0.19,0.39,0.71,0.73,0.52,-0.43
23,NGG,0.54,0.73,0.12,0.27,0.74,0.71,0.76,-0.37
17,NGG,0.73,0.83,0.27,0.58,0.69,0.68,0.78,-0.7
21,NAG,0.78,0.73,0.05,0.32,0.4,0.67,0.54,-0.31
19,TGG,0.75,0.86,0.24,0.41,0.52,0.6,0.56,-0.39
24,CGG,0.55,0.95,0.17,0.38,0.68,0.52,0.73,-0.12
24,TGG,0.43,0.92,0.21,0.44,0.74,0.76,0.65,-0.49
19,NGG,0.47,0.77,0.15,0.44,0.63,0.65,0.58,-0.47
23,TGG,0.65,0.85,0.09,0.27,0.64,0.53,0.52,-0.04
21,CGG,0.49,0.8,0.21,0.22,0.81,0.79,0.56,-0.42
19,NGG,0.41,0.87,0.08,0.45,0.82,0.58,0.51,-0.24
24,TGG,0.48,0.85,0.04,0.52,0.74,0.79,0.52,-0.5
18,NAG,0.55,0.8,0.19,0.48,0.47,0.57,0.66,-0.44
24,NGG,0.45,0.93,0.02,0.28,0.74,0.55,0.77,0.08
18,NGG,0.65,0.87,0.06,0.27,0.67,0.61,0.69,-0.07
24,TGG,0.67,0.86,0.3,0.25,0.7,0.56,0.5,-0.25
21,NAG,0.56,0.89,0.03,0.34,0.5,0.67,0.78,-0.15
22,NGG,0.52,0.88,0.29,0.31,0.45,0.54,0.66,-0.26
18,CGG,0.6,0.78,0.23,0.57,0.61,0.72,0.52,-0.74
17,CGG,0.79,0.8,0.03,0.55,0.72,0.79,0.74,-0.57
20,CGG,0.43,0.87,0.1,0.44,0.59,0.6,0.56,-0.27
18,NAG,0.6,0.91,0.04,0.28,0.65,0.71,0.59,-0.12
23,TGG,0.72,0.87,0.1,0.23,0.5,0.76,0.64,-0.22
18,NGG,0.75,0.91,0.27,0.24,0.86,0.77,0.71,-0.37
18,NGG,0.58,0.86,0.17,0.42,0.63,0.58,0.56,-0.31
24,TGG,0.66,0.9,0.06,0.37,0.49,0.58,0.59,-0.11
22,NAG,0.59,0.93,0.06,0.43,0.57,0.73,0.58,-0.29
19,NGG,0.6,0.88,0.29,0.59,0.59,0.56,0.62,-0.56
23,CGG,0.6,0.79,0.17,0.35,0.88,0.5,0.66,-0.23
20,NGG,0.79,0.88,0.18,0.58,0.77,0.68,0.77,-0.56
22,NAG,0.44,0.73,0.17,0.31,0.74,0.66,0.78,-0.41
17,TGG,0.5,0.83,0.19,0.55,0.45,0.63,0.65,-0.54
20,CGG,0.45,0.94,0.04,0.26,0.55,0.78,0.68,-0.14
17,CGG,0.59,0.72,0.18,0.35,0.5,0.61,0.53,-0.42
24,NAG,0.64,0.94,0.17,0.29,0.47,0.72,0.53,-0.24
21,CGG,0.5,0.71,0.29,0.36,0.54,0.54,0.78,-0.48
20,NGG,0.6,0.83,0.29,0.54,0.52,0.6,0.54,-0.6
22,NAG,0.67,0.73,0.22,0.5,0.78,0.53,0.78,-0.52
19,TGG,0.78,0.75,0.3,0.46,0.69,0.72,0.69,-0.73
24,CGG,0.59,0.73,0.01,0.45,0.82,0.66,0.78,-0.39
22,NAG,0.71,0.71,0.09,0.57,0.73,0.52,0.71,-0.47
20,NAG,0.66,0.71,0.2,0.34,0.65,0.51,0.64,-0.34
22,CGG,0.8,0.82,0.18,0.38,0.84,0.74,0.52,-0.48
17,NGG,0.53,0.87,0.03,0.47,0.71,0.54,0.56,-0.17
23,TGG,0.53,0.78,0.09,0.56,0.76,0.52,0.61,-0.39
24,NAG,0.54,0.81,0.06,0.46,0.88,0.77,0.75,-0.48
22,NGG,0.53,0.92,0.11,0.25,0.49,0.52,0.71,0.04
17,NGG,0.61,0.78,0.06,0.47,0.69,0.78,0.65,-0.53
21,NGG,0.5,0.7,0.08,0.5,0.58,0.77,0.59,-0.65
17,CGG,0.53,0.83,0.06,0.46,0.4,0.69,0.72,-0.38
19,NAG,0.76,0.7,0.26,0.46,0.63,0.74,0.67,-0.76
17,NGG,0.55,0.78,0.29,0.27,0.46,0.63,0.51,-0.41
23,NGG,0.42,0.8,0.11,0.36,0.5,0.66,0.51,-0.33
20,CGG,0.41,0.88,0.15,0.42,0.57,0.75,0.74,-0.44
19,NGG,0.65,0.93,0.18,0.26,0.56,0.74,0.55,-0.25
17,NAG,0.49,0.86,0.16,0.39,0.55,0.57,0.68,-0.26
18,NGG,0.5,0.82,0.17,0.44,0.59,0.67,0.7,-0.46
18,NAG,0.69,0.84,0.18,0.49,0.4,0.76,0.76,-0.59
18,TGG,0.48,0.77,0.17,0.49,0.84,0.75,0.78,-0.64
18,NGG,0.76,0.85,0.29,0.3,0.59,0.58,0.53,-0.32
24,TGG,0.74,0.94,0.28,0.24,0.44,0.71,0.6,-0.29
19,NAG,0.6,0.87,0.14,0.36,0.73,0.71,0.65,-0.34
20,TGG,0.61,0.74,0.23,0.47,0.89,0.59,0.77,-0.55
19,NGG,0.7,0.84,0.11,0.43,0.69,0.6,0.78,-0.3
18,CGG,0.42,0.79,0.18,0.36,0.52,0.65,0.75,-0.4
21,CGG,0.59,0.84,0.28,0.28,0.6,0.62,0.64,-0.34
22,NGG,0.59,0.86,0.07,0.39,0.58,0.64,0.73,-0.24
